Channel,Subscriber,View(/month),Income(/month)
BLACKPINK,61200000,17587470000,17150000000
HYBE LABELS,54300000,16192830000,15750000000
BANGTANTV,49900000,10021850000,9765000000
SMTOWN,27200000,20732990000,20210000000
1theK,22700000,19830680000,19330000000
JYP Entertainment,20600000,12810920000,12500000000
KBS WORLD TV,16200000,11833780000,11530000000
1MILLIONDANCEStudio,23900000,6487050000,6320000000
officialpsy,14900000,8454040000,8240000000
JTBC Entertainment,6670000,9279240000,9040000000
League of Legends,13800000,5286830000,5150000000
MBCkpop,9300000,7098230000,6915000000
JFlaMusic,17100000,3343150000,3255000000
YTN news,2360000,4884940000,4760000000
With Kids,11200000,5680190000,5535000000
SBS Entertainment,5530000,6283970000,6120000000
Jane ASMR 제인,13300000,4419900000,4290000000
핑크퐁,9210000,5511610000,5370000000
M2,7120000,5061850000,4930000000
tvN DRAMA,5660000,5229400000,5095000000
Google,10010000,2843690000,2765000000
Pororo,4250000,5779000000,5550000000
TWICE,10600000,1867130000,18250000000
Hongyu ASMR 홍유,8740000,2314250000,2250000000
SBS KPOP,5630000,3555160000,3460000000
MariAndKids,7440000,2256430000,2195000000
EBS 키즈,3270000,3983090000,3880000000
TV-People,3390000,3729530000,3630000000
Jaeguchi,4180000,3299920000,3210000000
Hamzy,6610000,1838940000,1785000000
떵개떵,4370000,2413170000,2405000000
Lime Tube,3700000,2551420000,2480000000
도티 TV,2410000,2652230000,2580000000
이지금,6070000,763750000,750000000
PinkyPopTOY,5600000,848700000,820000000
Play Carrie,2000000,2598230000,2530000000
Maangchi,5490000,5894200000,570000000
어썸하은,5090000,7713200000,745000000
PONY Syndrome,5850000,3489200000,335000000
크림히어로즈,3850000,1346590000,1330000000
흔한남매,2170000,1981600000,1880000000
Raon Lee,4130000,876020000,845000000
양띵 유튜브,1700000,1857730000,1805000000
장삐쭈,2850000,128730000,1190000000
ARTBEAT,3440000,799530000,770000000
FRAN,2950000,921960000,895000000
공대생 변승주 DS,2070000,1317920000,1280000000
SIO ASMR,3630000,542700000,485000000
급식왕,1400000,1497710000,1430000000
drawholic,3190000,340700000,325000000
돌디,220000,7210000,70300000
하나나,180000,3183000,31030000
혜성,130000,60920000,59400000
라더,200000,31660000,30870000
오늘의카툰,220000,9850000,9605000
사막여우,150000,53280000,51950000
기훈TV,90000,61730000,60190000
무파사,160000,52290000,50980000
주호민,210000,35300000,34410000
사이다님,150000,54620000,53250000
대학내일,120000,76920000,75490000
사과몽,200000,37020000,36090000
조마문,80000,59300000,57810000
W KOREA,200000,35420000,34540000
손혜원,230000,30290000,29550000
wavve웨이브,180000,65200000,75670000
어퍼컷Tube,170000,66620000,87140000
체스CHES,300000,17340000,16900000
민가든,230000,46050000,44900000
흔한일상,270000,31590000,30790000
윤튜브,230000,44980000,43850000
JUCY,330000,27090000,26410000
뻘짓연구소,250000,55840000,54440000
백곰선배,220000,74100000,72245000
Minjeong Park,330000,18800000,18330000
제니플레이,130000,134020000,130665000
369랑께,150000,143100000,101700000
박가린,280000,53870000,52525000
예소리SSOL,220000,76840000,74920000
nyanji냔지,320000,54460000,53095000
주식왕용느,220000,66450000,85760000
리얼:타임:러브,300000,46290000,45135000
오메킴TV,170000,99970000,97475000
민스코,400000,61000000,59475000
우린,330000,75330000,73450000
TV홍카콜라,420000,47150000,45975000
김희철 KimHeeChul,520000,17180000,16750000
늘보Movie,280000,86440000,84275000
LilySeeun릴리세은,450000,78080000,76130000
배달의민족,60000,256380000,267020000
미미미누,360000,173700000,104690000
KIMDAX킴닥스,470000,53160000,51830000
이과장,400000,80720000,78705000
이니스프리,190000,183930000,179330000
MariAndGames,280000,171710000,167420000
 인디라 ,139,30000,30000
 이산호의 산호조리원+A3+ ,7060,1210000,1180000
 UDARLY 유달리 ,106,30000,30000
 강력&불곰TV ,2050,70000,65000
 니뷰 ,147,10000,18600
 청출예람 ,7490,630000,610000
 뭐하는거니 ,3120,230000,220000
 블레스그레이스의맛앤뷰 ,4820,3310000,3230000
 소셜러스 ,161,10000,12685
 hyuna현화 ,5820,1040000,1010000
 만세TV ,2340,210000,200000
 진표TV ,9270,320000,310000
 dalcompany ,6340,1940000,1880000
 빙수 Studio ,466,150000,150000
 무문김수곤 ,1967,220000,210000
 풀배미 PB ,630,690000,670000
 리얼홍재경 ,5500,260000,250000
 아모레볼레오Amorevo_LEO ,10000,2420000,2850000
 라쿤TV ,2900,4340000,4230000
 챠미TV ,3810,1050000,1020000
 라예갈 ,10000,8660000,8440000
 에리크랑 ,3700,1930000,1885000
 전현희TV ,8300,200000,190000
 멘구멘구 ,10000,3090000,3015000
 서민금융진흥원 ,10000,5760000,5615000
 쟁부리TV ,5970,600000,580000
 폭쥬알파카 ,2050,2890000,2820000
 영또 ,20000,10180000,9920000
 부각나꼬 ,10000,5760000,5615000
 _채널36.5 ,10000,8210000,8000000
 경매야부탁해 ,30000,660000,640000
 디트TV ,1569,1290000,1260000
 eun micii ,20000,7790000,7595000
 키몽의 리뷰로운생활 ,3720,100000,105000
 류Ryu ,10000,8470000,8255000
 제제VLOG ,20000,200000,190000
 BLANK _ ,2550,770000,745000
 HouseRulez TV ,20000,11940000,11640000
 Isabella Lee ,10000,2440000,2375000
 belifcosmetic ,4330,11880000,11580000
 수산나Dance & Fitness ,10000,6450000,6290000
 이미지밴드 (Imageband) ,20000,6620000,6455000
 강하운 ,20000,540000,525000
 꽃망울 ,10000,3350000,3260000
